image,0,1,2,5,6
0,8143,84105,11587,91862,47814
1,42066,6899,27584,4527,8536
2,41088,82317,72394,23779,14621
3,6373,4384,4435,5002,16346
4,34770,20347,16549,76134,67171
5,5410,817,787,742,1332
6,6220,13115,13074,63759,24643
7,2841,997,5647,824,4502
8,13765,14821,16032,14652,14845
9,8740,14759,14973,16119,15018
10,19427,81887,15408,12530,16938
11,3579,4461,22537,4560,4106
12,5567,42338,27254,3957,4013
13,813,14428,14938,20850,20981
14,82830,65565,91712,38110,83074
15,12850,49630,35439,126720,79900
16,7688,8640,23845,71951,62874
17,813,15531,54061,35897,41500
18,7914,3710,11489,7784,3056
19,8298,8214,15755,27627,10710
20,24813,17142,32851,70622,32184
21,10237,13112,12393,18336,16795
22,8892,88573,14846,24128,45961
23,4793,14984,6530,13327,12194
24,4059,77961,227665,184640,137995
