,qtd,media,std,min,25,50,75,max,mediana
0,5,5307.0,623.22,4945,4945,5101,5133,6411,5101
1,5,1949.8,2842.77,655,671,686,702,7035,686
2,5,6765.4,186.92,6552,6614,6755,6933,6973,6755
3,5,12867.0,3751.86,6178,14289,14321,14493,15054,14321
4,5,4729.8,715.55,4290,4337,4414,4618,5990,4414
5,5,5304.0,199.86,5148,5163,5164,5507,5538,5164
6,5,8958.4,1569.83,6151,9609,9641,9688,9703,9641
7,5,934.2,1173.33,390,406,421,421,3033,421
8,5,10636.2,1790.35,9734,9844,9875,9891,13837,9875
9,5,3772.0,1999.72,2761,2902,2902,2948,7347,2902
10,5,2208.6,3848.53,468,483,484,515,9093,484
11,5,6823.6,1800.14,3604,7582,7613,7644,7675,7613
12,5,5313.6,1147.68,3261,5803,5819,5819,5866,5819
13,5,2683.2,1128.26,671,3135,3136,3136,3338,3136
14,5,11848.6,1088.53,11091,11247,11466,11685,13754,11466
15,5,10322.6,2087.15,9157,9438,9454,9516,14048,9454
16,5,9896.6,2083.24,6178,10592,10873,10920,10920,10873
17,5,19125.8,10317.04,671,23619,23712,23728,23899,23712
18,5,6255.2,678.11,5052,6412,6568,6614,6630,6568
19,5,5410.0,485.91,5070,5101,5304,5320,6255,5304
20,5,9272.8,1151.74,8611,8767,8783,8877,11326,8783
21,5,3638.0,1690.86,2839,2855,2855,2980,6661,2855
22,5,7934.2,696.49,7379,7597,7706,7847,9142,7706
23,5,9371.8,4698.02,976,11171,11404,11576,11732,11404
24,5,4602.2,1702.34,2528,2964,5788,5803,5928,5788
